"Origin","OriginTerm","CoreTerm"
"icd10cm:H31411:official","hemorrhagic choroidal detachment, right eye","hemorrhagic choroidal detachment"
"icd10cm:H31421:official","serous choroidal detachment, right eye","serous choroidal detachment"
"icd10cm:H318:official","other specified disorders of choroid","choroid specified disorders"
"icd10cm:H319:official","unspecified disorder of choroid","choroid disorder"
"icd10cm:H32:official","chorioretinal disorders in diseases classified elsewhere","chorioretinal diseases elsewhere"
"icd10cm:H33:official","retinal detachments and breaks","retinal detachments breaks"
"icd10cm:H330:official","retinal detachment with retinal break","retinal detachment"
"icd10cm:H33051:official","total retinal detachment, right eye","total retinal detachment"
"icd10cm:H331:official","retinoschisis and retinal cysts","retinoschisis retinal cysts"
"icd10cm:H3310:official","unspecified retinoschisis","retinoschisis"
"icd10cm:H3311:official","cyst of ora serrata","ora serrata cyst"
"icd10cm:H33111:official","cyst of ora serrata, right eye","ora serrata right eye cyst"
"icd10cm:H33112:official","cyst of ora serrata, left eye","ora serrata left eye cyst"
"icd10cm:H33113:official","cyst of ora serrata, bilateral","ora serrata bilateral cyst"
"icd10cm:H33119:official","cyst of ora serrata, unspecified eye","ora serrata eye cyst"
"icd10cm:H3312:official","parasitic cyst of retina","retina parasitic cyst"
"icd10cm:H33121:official","parasitic cyst of retina, right eye","retina right eye parasitic cyst"
"icd10cm:H33122:official","parasitic cyst of retina, left eye","retina left eye parasitic cyst"
"icd10cm:H33123:official","parasitic cyst of retina, bilateral","retina bilateral parasitic cyst"
"icd10cm:H33129:official","parasitic cyst of retina, unspecified eye","retina eye parasitic cyst"
"icd10cm:H3320:official","serous retinal detachment, unspecified eye","serous retinal detachment"
"icd10cm:H333:official","retinal breaks without detachment","retinal breaks"
"icd10cm:H3330:official","unspecified retinal break","retinal break"
"icd10cm:H3331:official","horseshoe tear of retina without detachment","retina detachment horseshoe tear"
"icd10cm:H33311:official","horseshoe tear of retina without detachment, right eye","retina detachment right eye horseshoe tear"
"icd10cm:H33312:official","horseshoe tear of retina without detachment, left eye","retina detachment left eye horseshoe tear"
"icd10cm:H33313:official","horseshoe tear of retina without detachment, bilateral","retina detachment bilateral horseshoe tear"
"icd10cm:H33319:official","horseshoe tear of retina without detachment, unspecified eye","retina detachment eye horseshoe tear"
"icd10cm:H3332:official","round hole of retina without detachment","retina detachment round hole"
"icd10cm:H33321:official","round hole, right eye","round hole"
"icd10cm:H3333:official","multiple defects of retina without detachment","retina detachment multiple defects"
"icd10cm:H33331:official","multiple defects of retina without detachment, right eye","retina detachment right eye multiple defects"
"icd10cm:H33332:official","multiple defects of retina without detachment, left eye","retina detachment left eye multiple defects"
"icd10cm:H33333:official","multiple defects of retina without detachment, bilateral","retina detachment bilateral multiple defects"
"icd10cm:H33339:official","multiple defects of retina without detachment, unspecified eye","retina detachment eye multiple defects"
"icd10cm:H334:official","traction detachment of retina","retina traction detachment"
"icd10cm:H3340:official","traction detachment of retina, unspecified eye","retina eye traction detachment"
"icd10cm:H3341:official","traction detachment of retina, right eye","retina right eye traction detachment"
"icd10cm:H3342:official","traction detachment of retina, left eye","retina left eye traction detachment"
"icd10cm:H3343:official","traction detachment of retina, bilateral","retina bilateral traction detachment"
"icd10cm:H338:official","other retinal detachments","retinal detachments"
"icd10cm:H3400:official","transient retinal artery occlusion, unspecified eye","transient retinal artery occlusion"
"icd10cm:H3410:official","central retinal artery occlusion, unspecified eye","central retinal artery occlusion"
"icd10cm:H342:official","other retinal artery occlusions","retinal artery occlusions"
"icd10cm:H34211:official","partial retinal artery occlusion, right eye","partial retinal artery occlusion"
"icd10cm:H34231:official","retinal artery branch occlusion, right eye","retinal artery branch occlusion"
"icd10cm:H348:official","other retinal vascular occlusions","retinal vascular occlusions"
"icd10cm:H34811:official","central retinal vein occlusion, right eye","central retinal vein occlusion"
"icd10cm:H34821:official","venous engorgement, right eye","venous engorgement"
"icd10cm:H3483:official","tributary (branch) retinal vein occlusion","tributary branch occlusion"
"icd10cm:H349:official","unspecified retinal vascular occlusion","retinal vascular occlusion"
"icd10cm:H35:official","other retinal disorders","retinal disorders"
"icd10cm:H350:official","background retinopathy and retinal vascular changes","background vascular changes"
"icd10cm:H3500:official","unspecified background retinopathy","background retinopathy"
"icd10cm:H3501:official","changes in retinal vascular appearance","changes vascular appearance"
"icd10cm:H35021:official","exudative retinopathy, right eye","exudative retinopathy"
"icd10cm:H35031:official","hypertensive retinopathy, right eye","hypertensive retinopathy"
"icd10cm:H3504:official","retinal micro-aneurysms, unspecified","retinal micro aneurysms"
"icd10cm:H3505:official","retinal neovascularization, unspecified","retinal neovascularization"
"icd10cm:H35061:official","retinal vasculitis, right eye","retinal vasculitis"
"icd10cm:H35071:official","retinal telangiectasis, right eye","retinal telangiectasis"
"icd10cm:H3509:official","other intraretinal microvascular abnormalities","intraretinal microvascular abnormalities"
"icd10cm:H351:official","retinopathy of prematurity","prematurity retinopathy"
"icd10cm:H35101:official","retinopathy of prematurity, unspecified, right eye","prematurity right eye retinopathy"
"icd10cm:H35102:official","retinopathy of prematurity, unspecified, left eye","prematurity left eye retinopathy"
