"Origin","OriginTerm","CoreTerm"
"icd10cm:D830:official","common variable immunodeficiency with predominant abnormalities of b-cell numbers and function","b cell numbers function common variable immunodeficiency predominant abnormalities"
"icd10cm:D830:official+abbr","com variab immunodef w predom abnlt of b-cell nums & functn","b cell nums functn com variab immunodef w predom abnlt"
"icd10cm:D831:official","common variable immunodeficiency with predominant immunoregulatory t-cell disorders","common variable immunodeficiency"
"icd10cm:D831:official+abbr","com variab immunodef w predom immunoreg t-cell disorders","immunodef immunoreg disorders"
"icd10cm:D832:official+abbr","common variable immunodef w autoantibodies to b- or t-cells","autoantibodies t cells"
"icd10cm:D838:official","other common variable immunodeficiencies","common variable immunodeficiencies"
"icd10cm:D840:official","lymphocyte function antigen-1 [lfa-1] defect","antigen lfa defect"
"icd10cm:D841:official","defects in the complement system","defects complement system"
"icd10cm:D860:official","sarcoidosis of lung","lung sarcoidosis"
"icd10cm:D861:official","sarcoidosis of lymph nodes","lymph nodes sarcoidosis"
"icd10cm:D862:official","sarcoidosis of lung with sarcoidosis of lymph nodes","lung sarcoidosis lymph nodes sarcoidosis"
"icd10cm:D863:official","sarcoidosis of skin","skin sarcoidosis"
"icd10cm:D8682:official","multiple cranial nerve palsies in sarcoidosis","cranial palsies sarcoidosis"
"icd10cm:D8689:official","sarcoidosis of other sites","sites sarcoidosis"
"icd10cm:D869:official","sarcoidosis, unspecified","sarcoidosis"
"icd10cm:D892:official","hypergammaglobulinemia, unspecified","hypergammaglobulinemia"
"icd10cm:D8940:official","mast cell activation, unspecified","mast cell activation"
"icd10cm:D8941:official","monoclonal mast cell activation syndrome","monoclonal activation syndrome"
"icd10cm:D8942:official","idiopathic mast cell activation syndrome","mast activation syndrome"
"icd10cm:D8949:official","other mast cell activation disorder","mast cell activation disorder"
"icd10cm:D89810:official","acute graft-versus-host disease","versus host disease"
"icd10cm:D89813:official","graft-versus-host disease, unspecified","graft versus host disease"
"icd10cm:D8982:official","autoimmune lymphoproliferative syndrome [alps]","autoimmune lymphoproliferative syndrome alps"
"icd10cm:D89831:official","cytokine release syndrome, grade 1","cytokine release syndrome"
"icd10cm:D8984:official","igg4-related disease","igg4 related disease"
"icd10cm:D8989:official","other specified disorders involving the immune mechanism, not elsewhere classified","involving immune mechanism"
"icd10cm:D8989:official+abbr","oth disrd involving the immune mechanism, nec","disrd immune mechanism"
"icd10cm:E000:official","congenital iodine-deficiency syndrome, neurological type","congenital iodine deficiency syndrome"
"icd10cm:E010:official","iodine-deficiency related diffuse (endemic) goiter","iodine endemic goiter"
"icd10cm:E011:official","iodine-deficiency related multinodular (endemic) goiter","multinodular endemic goiter"
"icd10cm:E018:official","other iodine-deficiency related thyroid disorders and allied conditions","thyroid allied conditions"
"icd10cm:E018:official+abbr","oth iodine-deficiency related thyroid disord and allied cond","disord allied cond"
"icd10cm:E02:official","subclinical iodine-deficiency hypothyroidism","subclinical iodine deficiency hypothyroidism"
"icd10cm:E030:official","congenital hypothyroidism with diffuse goiter","congenital hypothyroidism"
"icd10cm:E032:official","hypothyroidism due to medicaments and other exogenous substances","hypothyroidism"
"icd10cm:E034:official","atrophy of thyroid (acquired)","thyroid acquired atrophy"
"icd10cm:E038:official","other specified hypothyroidism","specified hypothyroidism"
"icd10cm:E048:official","other specified nontoxic goiter","specified nontoxic goiter"
"icd10cm:E049:official","nontoxic goiter, unspecified","nontoxic goiter"
"icd10cm:E0500:official","thyrotoxicosis with diffuse goiter without thyrotoxic crisis or storm","thyrotoxicosis"
"icd10cm:E0500:official+abbr","thyrotoxicosis w diffuse goiter w/o thyrotoxic crisis","goiter thyrotoxic crisis"
"icd10cm:E0501:official+abbr","thyrotoxicosis w diffuse goiter w thyrotoxic crisis or storm","goiter thyrotoxic storm"
"icd10cm:E0510:official+abbr","thyrotxcosis w toxic sing thyroid nodule w/o thyrotxc crisis","sing thyrotxc crisis"
"icd10cm:E0511:official+abbr","thyrotxcosis w toxic single thyroid nodule w thyrotxc crisis","nodule thyrotxc crisis"
"icd10cm:E0520:official+abbr","thyrotxcosis w toxic multinod goiter w/o thyrotoxic crisis","multinod thyrotoxic crisis"
"icd10cm:E0521:official+abbr","thyrotxcosis w toxic multinodular goiter w thyrotoxic crisis","multinodular thyrotoxic crisis"
"icd10cm:E0530:official","thyrotoxicosis from ectopic thyroid tissue without thyrotoxic crisis or storm","thyrotoxicosis ectopic tissue"
"icd10cm:E0530:official+abbr","thyrotxcosis from ectopic thyroid tissue w/o thyrotxc crisis","ectopic thyrotxc crisis"
"icd10cm:E0531:official+abbr","thyrotxcosis from ectopic thyroid tissue w thyrotoxic crisis","ectopic thyrotoxic crisis"
"icd10cm:E0540:official","thyrotoxicosis factitia without thyrotoxic crisis or storm","thyrotoxicosis factitia"
"icd10cm:E062:official","chronic thyroiditis with transient thyrotoxicosis","chronic thyroiditis"
"icd10cm:E064:official","drug-induced thyroiditis","drug induced thyroiditis"
"icd10cm:E069:official","thyroiditis, unspecified","thyroiditis"
"icd10cm:E070:official","hypersecretion of calcitonin","calcitonin hypersecretion"
"icd10cm:E0781:official","sick-euthyroid syndrome","sick euthyroid syndrome"
"icd10cm:E0789:official","other specified disorders of thyroid","thyroid specified disorders"
"icd10cm:E079:official","disorder of thyroid, unspecified","thyroid disorder"
"icd10cm:E0800:official","diabetes mellitus due to underlying condition with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (nkhhc)","diabetes mellitus"
"icd10cm:E0800:official+abbr","diab d/t undrl cond w hyprosm w/o nonket hyprgly-hypros coma","hyprgly hypros coma"
"icd10cm:E0801:official+abbr","diabetes due to underlying condition w hyprosm w coma","diabetes"
"icd10cm:E08311:official+abbr","diab due to undrl cond w unsp diabetic rtnop w macular edema","diab"
"icd10cm:E0900:official","drug or chemical induced diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (nkhhc)","drug chemical mellitus"
"icd10cm:E0901:official+abbr","drug/chem diabetes mellitus w hyperosmolarity w coma","chem hyperosmolarity coma"
"icd10cm:E0910:official+abbr","drug/chem diabetes mellitus w ketoacidosis w/o coma","ketoacidosis o coma"
"icd10cm:E0911:official+abbr","drug/chem diabetes mellitus w ketoacidosis w coma","chem ketoacidosis coma"
"icd10cm:E0921:official+abbr","drug/chem diabetes mellitus w diabetic nephropathy","chem diabetic nephropathy"
"icd10cm:E0922:official+abbr","drug/chem diabetes w diabetic chronic kidney disease","chem diabetic disease"
"icd10cm:E0929:official+abbr","drug/chem diabetes w oth diabetic kidney complication","chem diabetic complication"
"icd10cm:E09311:official+abbr","drug/chem diabetes w unsp diabetic rtnop w macular edema","rtnop macular edema"
"icd10cm:E093211:official+abbr","drug/chem diab with mild nonp rtnop with mclr edema, r eye","drug chem diab"
"icd10cm:E093521:official+abbr","drug/chem diab w prolif diab rtnop w trctn dtch macula,r eye","trctn dtch macula"
"icd10cm:E093531:official+abbr","drug/chem diab w prolif diab rtnop w trctn dtch n-mcla,r eye","trctn dtch mcla"
"icd10cm:E093541:official+abbr","drug/chem diab w prolif diab rtnop with comb detach, r eye","chem prolif rtnop"
"icd10cm:E093551:official+abbr","drug/chem diabetes with stable prolif diabetic rtnop, r eye","drug chem diabetes"
"icd10cm:E0936:official+abbr","drug/chem diabetes mellitus w diabetic cataract","chem diabetic cataract"
"icd10cm:E0937X1:official+abbr","drug/chem diab w diab mclr edma, resolved fol trtmt, r eye","chem mclr edma"
"icd10cm:E0939:official+abbr","drug/chem diabetes w oth diabetic ophthalmic complication","chem ophthalmic complication"
"icd10cm:E0940:official+abbr","drug/chem diabetes w neuro comp w diabetic neuropathy, unsp","neuro comp neuropathy"
"icd10cm:E0941:official+abbr","drug/chem diabetes w neuro comp w diabetic mononeuropathy","neuro comp mononeuropathy"
"icd10cm:E0942:official+abbr","drug/chem diabetes w neurological comp w diabetic polyneurop","neurological comp polyneurop"
"icd10cm:E0943:official+abbr","drug/chem diab w neuro comp w diab autonm (poly)neuropathy","neuro poly neuropathy"
"icd10cm:E0944:official+abbr","drug/chem diabetes w neurological comp w diabetic amyotrophy","neurological comp amyotrophy"
"icd10cm:E0949:official+abbr","drug/chem diabetes w neuro comp w oth diabetic neuro comp","neuro comp neuro comp"
"icd10cm:E0951:official+abbr","drug/chem diabetes w diabetic prph angiopath w/o gangrene","prph angiopath gangrene"
"icd10cm:E0959:official+abbr","drug/chem diabetes mellitus w oth circulatory complications","chem circulatory complications"
"icd10cm:E09610:official+abbr","drug/chem diabetes w diabetic neuropathic arthropathy","chem neuropathic arthropathy"
"icd10cm:E09618:official+abbr","drug/chem diabetes mellitus w oth diabetic arthropathy","chem diabetic arthropathy"
"icd10cm:E09620:official+abbr","drug/chem diabetes mellitus w diabetic dermatitis","chem diabetic dermatitis"
"icd10cm:E09622:official+abbr","drug or chemical induced diabetes mellitus w oth skin ulcer","diabetes mellitus ulcer"
"icd10cm:E09628:official+abbr","drug/chem diabetes mellitus w oth skin complications","chem mellitus complications"
"icd10cm:E09630:official+abbr","drug/chem diabetes mellitus w periodontal disease","chem periodontal disease"
"icd10cm:E09638:official+abbr","drug/chem diabetes mellitus w oth oral complications","chem oral complications"
"icd10cm:E09641:official+abbr","drug/chem diabetes mellitus w hypoglycemia w coma","chem hypoglycemia coma"
"icd10cm:E09649:official+abbr","drug/chem diabetes mellitus w hypoglycemia w/o coma","hypoglycemia o coma"
"icd10cm:E0965:official+abbr","drug or chemical induced diabetes mellitus w hyperglycemia","chemical mellitus hyperglycemia"
"icd10cm:E0969:official+abbr","drug/chem diabetes mellitus w oth complication","drug chem complication"
"icd10cm:E098:official+abbr","drug/chem diabetes mellitus w unsp complications","drug chem complications"
"icd10cm:E099:official+abbr","drug or chemical induced diabetes mellitus w/o complications","chemical o complications"
"icd10cm:E1010:official","type 1 diabetes mellitus with ketoacidosis without coma","1 diabetes mellitus"
"icd10cm:E1022:official+abbr","type 1 diabetes mellitus w diabetic chronic kidney disease","diabetic kidney disease"
"icd10cm:E1029:official+abbr","type 1 diabetes mellitus w oth diabetic kidney complication","diabetic kidney complication"
"icd10cm:E10311:official+abbr","type 1 diabetes w unsp diabetic retinopathy w macular edema","retinopathy macular edema"
"icd10cm:E103211:official+abbr","type 1 diab with mild nonp rtnop with macular edema, r eye","1 diab"
"icd10cm:E103213:official+abbr","type 1 diabetes with mild nonp rtnop with macular edema, bi","1 diabetes"
"icd10cm:E103523:official+abbr","type 1 diab w prolif diab rtnop with trctn dtch macula, bi","diab prolif diab rtnop"
"icd10cm:E1039:official+abbr","type 1 diabetes w oth diabetic ophthalmic complication","diabetic ophthalmic complication"
"icd10cm:E1043:official+abbr","type 1 diabetes w diabetic autonomic (poly)neuropathy","autonomic poly neuropathy"
"icd10cm:E1049:official+abbr","type 1 diabetes w oth diabetic neurological complication","diabetic neurological complication"
"icd10cm:E1051:official+abbr","type 1 diabetes w diabetic peripheral angiopath w/o gangrene","peripheral angiopath gangrene"
